,commenter_id,commenter_name,comment_text,comment_time
3012,100066434350260,Insight mất lòng,"Nghe nói sốp này mới ra bst tokubetsu matcha mới nên đang tặng 1 ly matcha miễn phí cho team hay mặc áo xanh lá nhưng không xa lánh từ ngày 19 😤. Các fashionista khoe màu xanh trong tủ đồ lẹ nhanh, còn kịp. Có mỗi 99 cốc đầu tiênn thoi 🙋🏻\u200d♀️\n\nhttps://\nm.facebook.com/\nstory.php?story_\nfbid=2177786146\n82188&id=100093\n501510576&mibex\ntid=qC1gEa",2023-11-15 00:00:00
3013,100094456303607,Trần Tuyết Nhi,Insight mất lòng xanh lá,2023-11-15 00:00:00
3014,61552766942781,Hà Giang Lê,Insight mất lòng Ấm áp🥰,2023-11-15 00:00:00
3015,100095758651412,Hector Villa,Insight mất lòng À,2023-11-15 00:00:00
3016,61550688687608,Bernard Frost,Insight mất lòng Phê đá,2023-11-15 00:00:00
3017,1788914641,Đỗ Chi,Bông Bông,2023-11-22 00:00:00
3018,100066434350260,Insight mất lòng,Các con nghịn matcha đã tậu được quả thẻ tích điểm này như toi chứ ý nhề 🥹,2023-11-15 00:00:00
3019,61552766942781,Hà Giang Lê,Insight mất lòng Hảo cô bé ở Triều Tiên,2023-11-15 00:00:00
3020,100095758651412,Hector Villa,Insight mất lòng Trước mình cũng vầy 😅,2023-11-15 00:00:00
3021,100078127083768,Phạm Minh Hằng,Hânn Mèoo ghé qua đi =))),2023-11-22 00:00:00
3022,100009621229256,Hânn Mèoo,Phạm Minh Hằng =)))) đào đâu ra đồ xanh má,2023-11-22 00:00:00
3023,100078127083768,Phạm Minh Hằng,Hânn Mèoo cậu có thể lấy đôi tất của tớ =))),2023-11-22 00:00:00
3024,100009621229256,Hânn Mèoo,Phạm Minh Hằng hog bé ơi,2023-11-22 00:00:00
3025,100001058823590,Lê Sơn Tùng,Hằng Xđ tiện có mấy cái áo xanh...,2023-11-22 00:00:00
3026,100009679908970,Duy Duong Phuoc,Yến Phương sợ r thì nói đi cưng,2023-11-22 00:00:00
